file_key,has_gold,wer_asr,wer_lev,wer_llm,asr_output,lev_output,llm_output,correction_level,lev_instruction,llm_instruction,lev_callsign,llm_callsign
LKPR_RUZYNE_Radar_120_520MHz_20201025_091112,TRUE,0.1667,0.6667,0.3333,oscar kilo papa mike bravo descend flight level one hundred one hundred oscar kilopapa mike bravo,flight level one hundred one hundred oscar kilo papa mike bravo descend flight level one hundred one hundred,Oscar Kilo Papa Mike Bravo descend flight level one hundred flight level one hundred one hundred,,descend,descend flight level one hundred,oscar kilo papa mike bravo,Oscar Kilo Papa Mike Bravo
LKPR_RUZYNE_Radar_120_520MHz_20201025_120512,TRUE,0.3333,0.5,0.5,oscar kilo kilo echo alfa praha radar tfi climb flight level one hundred an fi fligh start now time zero five good to destination via fligtpan route,Prague Radar oscar kilo kilo echo alfa climb flight level one hundred an fi fligh now time zero five destination via flig route,Prague Radar oscar kilo kilo echo alfa climb flight level one hundred an fi fligh now time zero five destination via flig route,,climb,climb,oscar kilo kilo echo alfa,oscar kilo kilo echo alfa
LKPR_RUZYNE_Radar_120_520MHz_20201025_121325,TRUE,0.4375,0.6875,0.5625,ryan air seven three alfa hotel turn left heading three six zero ryan air seven three alfa delfa,left RYAN INTERNATIONAL turn left heading three six zero ##fa,Ryanair 73 Alpha Hotel turn left heading 360 left heading three six zero ##fa,,turn,turn left heading 360,RYAN INTERNATIONAL,Ryanair 73 Alpha Hotel
LKPR_RUZYNE_Radar_120_520MHz_20201025_130407,TRUE,0.1875,0.625,0.5625,oscar kilo ko uniform november proceed direct baltu proceed direct baltu oscar k uniform november,november oscar kilo ko uniform proceed direct november baltu bal november,Oscar Kilo Uniform November proceed direct BALTU november baltu bal november,,proceed direct,proceed direct BALTU,oscar kilo ko uniform,Oscar Kilo Uniform November
LKPR_RUZYNE_Radar_120_520MHz_20201025_140929,TRUE,0.2571,0.5429,1.0286,euro wings seven holfa bravo turn right heading two one zero cleared ils approach runway two four report established heading two one zero cleared for the ils two four report established zero wings seven holtabravo,Prague Radar EUROWINGS turn right heading two one zero runway two four established heading two one zero two four established zero wings seven ##abravo,EUROWINGS SEVEN HOTEL BRAVO turn right heading two one zero cleared for the ILS two four report established runway two four right heading two one zero runway two four established heading two one zero two four established zero wings seven ##abravo,,turn,turn right heading two one zero cleared for the ILS two four report established,EUROWINGS,EUROWINGS SEVEN HOTEL BRAVO
LKPR_RUZYNE_Radar_120_520MHz_20201025_161808,TRUE,0.1463,0.4634,0.561,karomeo papa turn right heading zero two zero cleared als approach runway zero six speed maximum one six zero knos right heading zero two zero cleared ils approach zero six and maximum one six zero speed confirm how dyo confirm,Prague Radar KAHAMA turn right heading heading zero two zero als approach runway zero six speed maximum one six zero knos right heading zero two zero zero six and maximum one six zero speed,Prague Radar KARTHAGO turn right heading runway 06 heading zero two zero als approach runway zero six speed maximum one six zero knos right heading zero two zero zero six and maximum one six zero speed,,turn right heading,turn right heading,KAHAMA,KARTHAGO
LKPR_RUZYNE_Radar_120_520MHz_20201025_174652,TRUE,0.2143,0.7143,0.6429,praha good evening lufthansa eight hotel romeo pounsing totol live l climbing flige to lufthansa eight hotel romeo praha radar good evening identified climb to flight level one six zero lufthansa eight hotel romeo climb flight level one six zero,Prague Radar good evening LUFTHANSA CARGO po l flight level one six zero flight level one six zero,good evening Lufthansa 8 Hotel Romeo climb flight level one six zero l flight level one six zero flight level one six zero,,po,climb flight level one six zero,LUFTHANSA CARGO,Lufthansa 8 Hotel Romeo
LKPR_RUZYNE_Radar_120_520MHz_20201025_213836,TRUE,0.25,0.75,0.75,sky travel two eight two seven and direct s echo airspace below flight level one hundred if you wish to avoid cos echo airspace next descend in two zero miles,below flight level one hundred sky travel two eight two seven and below flight level one hundred two zero miles,Sky Travel 2827 descend below flight level one hundred two zero miles,,and,descend,sky travel two eight two seven,Sky Travel 2827
LKPR_RUZYNE_Radar_120_520MHz_20201026_105217,TRUE,0.35,0.8,0.8,speed bird eight five five praha radar ra five flive flight level one six zero one six zero speed bird eight five five,Prague Radar speed bird eight five five speed ra zero one six zero,Prague Radar speed bird eight five five speed ra zero one six zero,,speed,speed,speed bird eight five five,speed bird eight five five
LKPR_RUZYNE_Radar_120_520MHz_20201026_105855,TRUE,0.2917,0.4583,0.4583,sky travel three five juliett right heading one eight zero vectoring for spacing turning right heading one eight zero sky travel three five juliet,##t right sky travel three five juliet ##t right heading one eight zero for spacing turning right heading one eight zero,##t right sky travel three five juliet ##t right heading one eight zero for spacing turning right heading one eight zero,,,,sky travel three five juliet,sky travel three five juliet
