file_key,file,gold,asr,WER,CER,language,language_probability,empty_output,error_type,NER,
LSGS_SION_Ground_Control_121_7MHz_20210505_112213,LSGS_SION_Ground_Control_121_7MHz_20210505_112213.wav,report on final Bramois Hotel Yankee,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 51, 52, 53, 56, 57, 58, 59, 51, 52, 53, 56, 57, 58, 59, 51, 52, 53, 56, 57, 59, 51, 52, 53, 56, 57, 59, 51, 52, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53,",18.33333333,6.870967742,en,1,FALSE,recognition,,
LKPR_RUZYNE_Tower_134_560MHz_20201026_153217,LKPR_RUZYNE_Tower_134_560MHz_20201026_153217.wav,[noise] Oscar Kilo Charlie Tango Papa line up runway two four and wait line up runway two four and wait Oscar Kilo Charlie Tango Papa,"Squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one, squawk one",4.666666667,4.411764706,en,1,FALSE,recognition,,
LSGS_SION_Tower_118_3MHz_20210422_093222,LSGS_SION_Tower_118_3MHz_20210422_093222.wav,looking out Hotel Oscar Delta,"Look at that, that's a lot of stuff.",1.8,0.72,en,1,FALSE,,,
LSZB_BERN_Tower_121_0MHz_20210419_092415,LSZB_BERN_Tower_121_0MHz_20210419_092415.wav,roger Hotel Golf Papa Hotel Golf Papa frequency change approved good bye okay good bye Hotel Golf Papa,"I'll run up. I'll tell you guys, bye bye. I'll tell you guys, bye bye. Frequency change approved, goodbye. I'll tell you goodbye. I'll tell you guys, bye bye.",1.722222222,0.752941176,en,1,FALSE,,,
LSZH_ZURICH_Tower_118_1MHz_20210418_101741,LSZH_ZURICH_Tower_118_1MHz_20210418_101741.wav,Swiss Three Three Two behind challenger   line up to eight behind,"This is 3-3-2 behind Challenger, line up to head behind. Line up to Challenger, line up to head behind 3-3-2.",1.636363636,0.849056604,en,1,FALSE,,,
LSZH_ZURICH_Tower_118_1MHz_20210418_155559,LSZH_ZURICH_Tower_118_1MHz_20210418_155559.wav,hallo Bravo Whiskey Zulu Papa tower hello into control zone route  echo  clearence limit  echo  two,"Is there a tower at the lower whiskey zulu tower, please? Lower whiskey zulu tower, tower, hello, intercontrols enroute, echo, clearance limit, echo two. Clear, clearance, echo two, lower whiskey zulu, roger.",1.5625,1.1875,en,1,FALSE,,,
LSGS_SION_Ground_Control_121_7MHz_20210420_142949,LSGS_SION_Ground_Control_121_7MHz_20210420_142949.wav,One Zero One Two runway two seven bye bye,"We're going to go back to Luman, we're going to keep going, bye-bye.",1.555555556,1,en,1,FALSE,,,
LSGS_SION_Ground_Control_121_7MHz_20210502_134316,LSGS_SION_Ground_Control_121_7MHz_20210502_134316.wav,Three Five Tango Hotel Alpha Whiskey,"Three touch and go, tell us how we skip.",1.333333333,0.516129032,en,1,FALSE,,,
LSGS_SION_Ground_Control_121_7MHz_20210423_160618,LSGS_SION_Ground_Control_121_7MHz_20210423_160618.wav,Sierra Alpha Papa Sion Ground hello,It's the Papa-Papa on Grand Mello.,1.166666667,0.433333333,en,1,FALSE,,,
LSZB_BERN_Tower_121_0MHz_20210415_130747,LSZB_BERN_Tower_121_0MHz_20210415_130747.wav,Hotel Bravo Kilo Golf Yankee from november good afternoon next report breaking off a city circling three two one,"This is runway one four, surface, contact, squawk. What's up, I'm Kilo Golf Janky from the Antalya, good afternoon, exit port breaking off for city circling 321.",1.157894737,0.776595745,en,1,FALSE,,,
LSGS_SION_Ground_Control_121_7MHz_20210503_151058,LSGS_SION_Ground_Control_121_7MHz_20210503_151058.wav,taxi going around Nav Checker Five One One,Thanks for doing your rounds. Have a good day. Five One One.,1.125,0.657142857,en,1,FALSE,,,
LSGS_SION_Ground_Control_121_7MHz_20210501_072244,LSGS_SION_Ground_Control_121_7MHz_20210501_072244.wav,Hotel Echo X-ray roger taxi holding point bravo and report ready,"What's your name, sir? Roger. Interaction report bravo and report ready. Report bravo and report ready.",1,0.905660377,en,1,FALSE,,,
LSGS_SION_Ground_Control_121_7MHz_20210503_062127,LSGS_SION_Ground_Control_121_7MHz_20210503_062127.wav,India Lima you may leave [NE-French]a toute[/NE],Injali Mayu Midi Vatut.,1,0.423076923,en,1,FALSE,,,
LSGS_SION_Ground_Control_121_7MHz_20210503_142210,LSGS_SION_Ground_Control_121_7MHz_20210503_142210.wav,thank you very much Hotel Golf Kilo,"Thank you, natch. Hope to talk to you soon.",1,0.655172414,en,1,FALSE,,,
LSGS_SION_Ground_Control_121_7MHz_20210504_130255,LSGS_SION_Ground_Control_121_7MHz_20210504_130255.wav,[hes] Sion Ground [NE-French]bonjour[/NE] Hotel Bravo Kilo X-ray,"Siya Ongran, bonjour, c'est par vos kilos, écoutez.",1,0.571428571,en,1,FALSE,,,
LSGS_SION_Ground_Control_121_7MHz_20210505_142343,LSGS_SION_Ground_Control_121_7MHz_20210505_142343.wav,Vista Jet Four Six Seven Sion go ahead,"Vista Jet Force 6-7, see ya'll. Go ahead ma'am.",1,0.483870968,en,1,FALSE,,,
LSGS_SION_Tower_118_3MHz_20210504_061821,LSGS_SION_Tower_118_3MHz_20210504_061821.wav,Heli Oscar Zulu frequency change approved  [NE-German]schone[/NE] [NE-German]beste schone[/NE] Heli Oscar Zulu,"ALI OSCARSOLU FRAGENCY CHANNELPROVE CHANNEL. That's a show now, ALI OSCARSOLU.",1,0.409090909,en,1,FALSE,,,
LSGS_SION_Tower_118_3MHz_20210505_132607,LSGS_SION_Tower_118_3MHz_20210505_132607.wav,helicopter Heli Victor Oscar good afternoon Victor Oscar good afternoon,"Vitovska, Vitovska, Vitovska, Vitovska, Vitovska, Vitovska.",1,0.758064516,en,1,FALSE,,,
LSGS_SION_Tower_118_3MHz_20210505_133612,LSGS_SION_Tower_118_3MHz_20210505_133612.wav,one two four decimal two two five  Bair Nine Five One good bye,"124.225, BR951, goodbye.",1,0.816326531,en,1,FALSE,,,
LSZH_ZURICH_Tower_118_1MHz_20210413_151347,LSZH_ZURICH_Tower_118_1MHz_20210413_151347.wav,Delta India Victor contact apron one two one decimal seven five five  [NE-German] tschuss_(bye) [/NE],"Totte in der Wegse, contact A-TRAIN 121.755. Tschüss!",1,0.686567164,en,1,FALSE,,,
LSZH_ZURICH_Tower_118_1MHz_20210414_085600,LSZH_ZURICH_Tower_118_1MHz_20210414_085600.wav,Air Nostrum Eight Zero Quebec Yankee tower hello wind    zero seven zero degrees   right zero nine runway one four cleared to land,"V1, V1, V1, V1,",1,0.990384615,en,1,FALSE,,,
LSZH_ZURICH_Tower_118_1MHz_20210414_153211,LSZH_ZURICH_Tower_118_1MHz_20210414_153211.wav,Vista Jet Four Nine Two no landing vacated own discretion,"Mr. Jet 4992, after landing vacated on discretion. Copy, Mr. Jet 4992.",1,0.645833333,en,1,FALSE,,,
YSSY_SYDNEY_Tower_120_5MHz_20210502_041102,YSSY_SYDNEY_Tower_120_5MHz_20210502_041102.wav,Sydney tower Jetstar Seven Sixty Seven Jetstar Seven Sixty Seven Sydney tower,"Sunita, test out 767. Test out 767, Sunita.",1,0.787878788,en,1,FALSE,facility name,,
YSSY_SYDNEY_Tower_120_5MHz_20210502_211912,YSSY_SYDNEY_Tower_120_5MHz_20210502_211912.wav,Jetstar Nine Twelve contact departure Jetstar Nine Twelve,"DIFTER912, CONNECT CONFIRMED. DIFTER912.",1,0.78,en,1,FALSE,callsign,,
LSZH_ZURICH_Tower_118_1MHz_20210414_112740,LSZH_ZURICH_Tower_118_1MHz_20210414_112740.wav,Royalair Maroc Three Five Two contact apron one two one decimal eight five five good bye one two one decimal eight five five good bye Royalair Maroc Three Five Two,"Royal Amarok 352, contact Zurich apron 121.855, goodbye. 121.855, goodbye, Royal Amarok 352.",0.966666667,0.671641791,en,1,FALSE,,correct,
LSZB_BERN_Tower_121_0MHz_20210415_134139,LSZB_BERN_Tower_121_0MHz_20210415_134139.wav,Sierra November expect landing clearance shortly traffic on the runways departing three top on to the west,"Flight level 3-2, over. That's your runway number, expect landing clearance shortly, traffic on the runway is departing, 3-2 up onto the west.",0.941176471,0.411111111,en,1,FALSE,,,
YSSY_SYDNEY_Tower_120_5MHz_20210502_024039,YSSY_SYDNEY_Tower_120_5MHz_20210502_024039.wav,Rex Sixty Eight Sixty Eight contact departure departure Rex Sixty Eight Sixty Eight,"Rec 6868, contact Apaches. Say Apaches Rec 6868.",0.923076923,0.774647887,en,1,FALSE,facility name,,
YSSY_SYDNEY_Tower_120_5MHz_20210504_044333,YSSY_SYDNEY_Tower_120_5MHz_20210504_044333.wav,two seven five and  four knots Qantas Four Forty Six,"275 at 4 knots, QNH 446.",0.9,0.80952381,en,1,FALSE,,correct,
LSGS_SION_Ground_Control_121_7MHz_20210502_073058,LSGS_SION_Ground_Control_121_7MHz_20210502_073058.wav,Foxtrot Lima Delta wind    two five zero degrees   one two knots   runway two five cleared touch and go,"Oktraot, Lima Delta, wind 250 degrees, 12 knots, runway 25, cleared to touch and go. Cleared to touch and go, Oktraot Lima Delta.",0.888888889,0.721518987,en,1,FALSE,phonetic code,,
LSZH_ZURICH_ApronS_121_75MHz_20210414_181316,LSZH_ZURICH_ApronS_121_75MHz_20210414_181316.wav,Lot Four Two Zero contact ground one two one decimal nine zero five good bye,"LOT420, contact ground, 121.905, goodbye.",0.866666667,0.629032258,en,1,FALSE,,,
LSZH_ZURICH_Tower_118_1MHz_20210413_105440,LSZH_ZURICH_Tower_118_1MHz_20210413_105440.wav,Swiss Two Zero Four Kilo departure bye departure good bye Swiss Two Zero Four Kilo,"CIS204K, departure by. Departure by CIS204K.",0.866666667,0.588235294,en,1,FALSE,callsign,,
LSZH_ZURICH_Tower_118_1MHz_20210414_085932,LSZH_ZURICH_Tower_118_1MHz_20210414_085932.wav,Air Nostrum Eight Zero Quebec Yankee  contact apron one two one decimal eight five five,"Anostrum eight zero Quebec yankee, contact apron one two one decimal eight five five. One two one eight five five, Anostrum, thank you for bearing.",0.866666667,0.694444444,en,1,FALSE,callsign,,
LKPR_RUZYNE_Radar_120_520MHz_20201029_205125,LKPR_RUZYNE_Radar_120_520MHz_20201029_205125.wav,and KLM Seven Three Whiskey reduce speed    one six zero knots  till four DME sixty to four DME KLM Seven Three Whiskey,"KM73Whiskey, radio speed 160 knots till 4DME. 60 knots till 4DME, KM73Whiskey.",0.863636364,0.574468085,en,1,FALSE,,correct,
LZIB_STEFANIK_Tower_118_3MHz_20210427_162200,LZIB_STEFANIK_Tower_118_3MHz_20210427_162200.wav,Bair Seven One Two taxi via delta line up runway zero four via delta line up zero four Bair Seven One Two,"BR712, taxi via DLR 04. Via DLR 04, BR712.",0.863636364,0.761904762,en,1,FALSE,callsign,,
YSSY_SYDNEY_Tower_120_5MHz_20210428_013626,YSSY_SYDNEY_Tower_120_5MHz_20210428_013626.wav,Tower good day Jetstar seven sixty three Jetstar seven sixty three Sydney Tower(to-),"Ciao, g'day, Jetson 763. Jetson 763, Sydney Eater.",0.857142857,0.68115942,en,1,FALSE,facility name,,
YSSY_SYDNEY_Tower_120_5MHz_20210502_043414,YSSY_SYDNEY_Tower_120_5MHz_20210502_043414.wav,Sydney tower good day Qantas Five Twenty Niner Qantas Five Twenty Niner Sydney tower,"Sydney Teagrae, QNH 529. QNH 529, Sydney Teagrae.",0.857142857,0.718309859,en,1,FALSE,facility name,,
YSSY_SYDNEY_Tower_120_5MHz_20210503_075331,YSSY_SYDNEY_Tower_120_5MHz_20210503_075331.wav,Sydney tower Rex Sixty Four Seventy Two Rex Sixty Four Seventy Two Sydney tower,"City Tower, REC 6472. REC6472, City Tower.",0.857142857,0.727272727,en,1,FALSE,facility name,,
LSGS_SION_Ground_Control_121_7MHz_20210502_123002,LSGS_SION_Ground_Control_121_7MHz_20210502_123002.wav,Hotel Echo X-ray recleared full stop landing runway two five recleared full stop runway two five Echo X-ray,"Good afternoon, I am cleared for full stop landing on the 25. Cleared for full stop landing on the 25.",0.85,0.568181818,en,1,FALSE,,,
LZIB_STEFANIK_Tower_118_3MHz_20210423_120826,LZIB_STEFANIK_Tower_118_3MHz_20210423_120826.wav,Slovak Airforce [hes] Seven Four Four Five frequency change approved [NE Slovak] dopočutia pekný let [/NE],"Slovakia Force 7-4-4-5, frequency change approved, do počuťa peknilec.",0.846153846,0.333333333,en,1,FALSE,,,
LSZB_BERN_Tower_121_0MHz_20210414_151418,LSZB_BERN_Tower_121_0MHz_20210414_151418.wav,Hotel Whiskey Echo now three thousand two hundred feet and leave the command for seven thousand frequency change approved,"Otaviskeko, now 3,500 feet, and you're leaving the control zone for 7,000, frequency improved.",0.842105263,0.572815534,en,1,FALSE,phonetic code,,
