file,segment_id,start,end,gold_text,gold_clean_text
LSZB_BERN_Tower_121_0MHz_20210424_082532.xml,0,0.23,4.05,[#callsign]Hotel Bravo Sierra Charlie Tango[/#callsign] [#unnamed]Bern Tower hello[/#unnamed] [#command]taxi via[/#command] [#value]kilo to terminal north[/#value],Hotel Bravo Sierra Charlie Tango Bern Tower hello taxi via kilo to terminal north
LSGS_SION_Ground_Control_121_7MHz_20210421_083624.xml,0,0.14,2.19,[#callsign]Hotel Alpha Papa[/#callsign] you [#command]may leave the frequency[/#command] [#unnamed]bye bye[/#unnamed],Hotel Alpha Papa you may leave the frequency bye bye
LZIB_STEFANIK_Tower_118_3MHz_20210505_224858.xml,0,0,5.23,[#value]runway three one[/#value] [#command]cleared to land[/#command] we [#command]copied[/#command] [#callsign]Topjet [hes] Seven Zero Four[/#callsign],runway three one cleared to land we copied Topjet [hes] Seven Zero Four
LKPR_RUZYNE_Tower_134_560MHz_20201026_160035.xml,0,0,8.53,[#callsign]Silesia Seven Six Two[/#callsign] [#command]continue[/#command]     [#value]Charlie Lima Quebec Quebec Five[/#value]       [#value]behind follow me stand mike one bravo[/#value],Silesia Seven Six Two continue     Charlie Lima Quebec Quebec Five       behind follow me stand mike one bravo
LSZB_BERN_Tower_121_0MHz_20210413_124225.xml,0,0,4.33,[#callsign]Hotel Golf Oscar[/#callsign] [#unnamed]number two number one short[/#unnamed] [#command]final runway[/#command] [#value]one four[/#value],Hotel Golf Oscar number two number one short final runway one four
YSSY_SYDNEY_Tower_120_5MHz_20210505_204538.xml,0,0.42,5.14,[#unnamed]tower good morning[/#unnamed] [#callsign]Singapore Seven Two Seven Four heavy[/#callsign] [hes] [#command]ILS[/#command] [#value]one three zero one six right[/#value],tower good morning Singapore Seven Two Seven Four heavy [hes] ILS one three zero one six right
LSGS_SION_Ground_Control_121_7MHz_20210503_151946.xml,0,0.12,5.84,[#callsign]Heli Charlie Zulu[/#callsign] [#unnamed]wind[/#unnamed]    [#value]two seven zero degrees[/#value]  [#value]nine knots[/#value] [#command]crossing[/#command] [#value]runway access five two two five[/#value] [#command]landing on discretion[/#command],Heli Charlie Zulu wind    two seven zero degrees  nine knots crossing runway access five two two five landing on discretion
LSGS_SION_Ground_Control_121_7MHz_20210503_151946.xml,1,6.4,10.53,[#command]crossing to[/#command] [#value]landing five two two five[/#value] [#command]landing on discretion[/#command] [#callsign]Heli Charlie Zulu[/#callsign],crossing to landing five two two five landing on discretion Heli Charlie Zulu
YSSY_SYDNEY_Tower_120_5MHz_20210505_041424.xml,0,0,2.35,[#value]runway one six right[/#value] [#command]cleared to land[/#command] [#callsign]Qantas Four Forty[/#callsign] Four,runway one six right cleared to land Qantas Four Forty Four
YSSY_SYDNEY_Tower_120_5MHz_20210502_211912.xml,0,0,1.8,[#callsign]Jetstar Nine Twelve[/#callsign] [#command]contact departure[/#command],Jetstar Nine Twelve contact departure
